,estimator,min_score,mean_score,max_score,std_score,alpha,criterion,hidden_layer_sizes,max_depth,max_features,max_iter,n_estimators,random_state,solver
107,mlp,0.663379355687048,0.7198384310771925,0.752629848783695,0.02883468949443222,0.1,,13,,,1500,,1,lbfgs
111,mlp,0.6613247863247864,0.719572762679656,0.7541091387245233,0.02967991109401344,0.1,,13,,,2000,,1,lbfgs
138,mlp,0.6657626561472716,0.7169987840442386,0.7888777888777889,0.03215143849445724,1e-07,,10,,,1000,,0,lbfgs
146,mlp,0.6657626561472716,0.7159600680704578,0.7877122877122877,0.03227665121181955,1e-07,,10,,,2000,,0,lbfgs
142,mlp,0.6657626561472716,0.7154960313301972,0.7877122877122877,0.032417368667885256,1e-07,,10,,,1500,,0,lbfgs
127,mlp,0.6568869165023011,0.7125579146683043,0.7572103221453871,0.02839798099328825,0.0001,,13,,,1000,,1,lbfgs
114,mlp,0.6357659434582512,0.7122604238363479,0.7713952713952714,0.03623423071020633,0.0001,,10,,,1000,,0,lbfgs
122,mlp,0.6303418803418803,0.7120773679090362,0.7712287712287713,0.037433052194052366,0.0001,,10,,,2000,,0,lbfgs
131,mlp,0.6572156476002631,0.7115080182887376,0.7570416596390623,0.028700503112470323,0.0001,,13,,,1500,,1,lbfgs
118,mlp,0.6305062458908612,0.7111971528305194,0.7712287712287713,0.03766372206964578,0.0001,,10,,,1500,,0,lbfgs
135,mlp,0.6572156476002631,0.7104283620142763,0.7577163096643615,0.029763132852136265,0.0001,,13,,,2000,,1,lbfgs
120,mlp,0.6642833662064431,0.708922504402025,0.7536630036630036,0.029027278108630743,0.0001,,10,,,1500,,3,lbfgs
124,mlp,0.6642833662064431,0.7085773367491649,0.7536630036630036,0.029316150687579257,0.0001,,10,,,2000,,3,lbfgs
116,mlp,0.6642833662064431,0.7085198088070216,0.7536630036630036,0.029405262651376565,0.0001,,10,,,1000,,3,lbfgs
148,mlp,0.6545791870467195,0.7081675456300831,0.7457264957264957,0.03347624156124971,1e-07,,10,,,2000,,3,lbfgs
144,mlp,0.6545791870467195,0.7081675456300831,0.7457264957264957,0.03347624156124971,1e-07,,10,,,1500,,3,lbfgs
94,mlp,0.6735700197238659,0.7081391122475039,0.7822177822177822,0.029386555318518953,0.1,,10,,,1500,,0,lbfgs
98,mlp,0.6735700197238659,0.7080729363321772,0.7822177822177822,0.02938123462260236,0.1,,10,,,2000,,0,lbfgs
90,mlp,0.6704470742932281,0.708066005755816,0.7823842823842825,0.029878559076939013,0.1,,10,,,1000,,0,lbfgs
140,mlp,0.6539045370214202,0.7080343344079608,0.7457264957264957,0.03354825728056696,1e-07,,10,,,1000,,3,lbfgs
100,mlp,0.6469428007889546,0.7068281174924532,0.7454799474030243,0.030239908957216764,0.1,,10,,,2000,,3,lbfgs
92,mlp,0.6469428007889546,0.706098187803982,0.7423570019723866,0.029508360857422946,0.1,,10,,,1000,,3,lbfgs
155,mlp,0.6436554898093361,0.7055161455261356,0.7672583826429982,0.0434461961732298,1e-07,,13,,,1500,,1,lbfgs
159,mlp,0.643491124260355,0.705514426743198,0.7672583826429982,0.04304306091848821,1e-07,,13,,,2000,,1,lbfgs
96,mlp,0.6469428007889546,0.7054803199908095,0.7454799474030243,0.029896222224323667,0.1,,10,,,1500,,3,lbfgs
151,mlp,0.6446416831032216,0.7046717268745241,0.7675871137409599,0.04336775799958104,1e-07,,13,,,1000,,1,lbfgs
113,mlp,0.6286160420775806,0.7003657486924221,0.7497048406139315,0.035968745047168266,0.1,,13,,,2000,,9,lbfgs
143,mlp,0.5913872452333991,0.6996224831889167,0.7583250083250083,0.04583252473514659,1e-07,,10,,,1500,,1,lbfgs
109,mlp,0.6210552268244575,0.6995582090237435,0.7493675156012818,0.037787851718857145,0.1,,13,,,1500,,9,lbfgs
105,mlp,0.6281229454306378,0.6981949424756618,0.7480182155506832,0.036449806839162005,0.1,,13,,,1000,,9,lbfgs
139,mlp,0.5916337935568705,0.6977324346205467,0.7591575091575091,0.04541848779779954,1e-07,,10,,,1000,,1,lbfgs
147,mlp,0.5907297830374755,0.6974162256879539,0.7583250083250083,0.04552905933937748,1e-07,,10,,,2000,,1,lbfgs
129,mlp,0.612836949375411,0.6965958450473936,0.7748355540563332,0.03844924416105021,0.0001,,13,,,1000,,9,lbfgs
101,mlp,0.6155489809335963,0.6949585144015712,0.7668474687705458,0.04063947185008985,0.1,,10,,,2000,,9,lbfgs
97,mlp,0.6104536489151875,0.6948434585172846,0.7668474687705458,0.04178145793046942,0.1,,10,,,1500,,9,lbfgs
93,mlp,0.6099605522682447,0.694555818806568,0.7668474687705458,0.0417984792422938,0.1,,10,,,1000,,9,lbfgs
134,mlp,0.6568869165023011,0.6936119657897879,0.7402597402597402,0.03102593686684539,0.0001,,13,,,2000,,0,lbfgs
133,mlp,0.595249835634451,0.6935702298589412,0.7734862540057346,0.04170542709549728,0.0001,,13,,,1500,,9,lbfgs
130,mlp,0.6568869165023011,0.692480366231615,0.7407592407592407,0.030253196208915405,0.0001,,13,,,1500,,0,lbfgs
126,mlp,0.6521203155818541,0.6911183485733934,0.7390942390942391,0.027659288435902814,0.0001,,13,,,1000,,0,lbfgs
137,mlp,0.6044543063773833,0.6910542559893209,0.7711249789171867,0.03911897813416551,0.0001,,13,,,2000,,9,lbfgs
161,mlp,0.6445595003287311,0.6901285084102267,0.7282847023106762,0.028445553331899943,1e-07,,13,,,2000,,9,lbfgs
153,mlp,0.6351084812623274,0.6900870399996274,0.7311519649181986,0.030105144029076963,1e-07,,13,,,1000,,9,lbfgs
157,mlp,0.6453813280736358,0.6899228366261333,0.7283690335638388,0.028066485115232565,1e-07,,13,,,1500,,9,lbfgs
123,mlp,0.6032215647600264,0.6894169904909166,0.7588245088245088,0.04801412964496308,0.0001,,10,,,2000,,1,lbfgs
95,mlp,0.5714168310322156,0.6893569384328625,0.7591575091575091,0.05205545290322201,0.1,,10,,,1500,,1,lbfgs
119,mlp,0.6032215647600264,0.6889871727783816,0.7558610220947883,0.04661976818483828,0.0001,,10,,,1500,,1,lbfgs
91,mlp,0.5737179487179487,0.6887356358260454,0.758075258075258,0.0503974913081093,0.1,,10,,,1000,,1,lbfgs
99,mlp,0.5714168310322156,0.6882144287613817,0.7537462537462536,0.05106336681530863,0.1,,10,,,2000,,1,lbfgs
