,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
463,mlp,0.6318211702827088,0.7250139152112179,0.8041584483892176,0.04961934680421359,,,1e-07,,,13,,,,2000,,,1,lbfgs,
248,ExtraTreesClassifier,0.6877054569362262,0.7247576945753769,0.7806541748849442,0.02963343827316839,,,,gini,,,,5,log2,,100,,,,
331,ExtraTreesClassifier,0.6814595660749507,0.7242270425212484,0.7707100591715977,0.024750585345372965,,,,entropy,,,,5,sqrt,,50,,,,
338,ExtraTreesClassifier,0.6857309357309357,0.7241542215693064,0.793145956607495,0.03127904096282604,,,,entropy,,,,5,log2,,100,,,,
388,ExtraTreesClassifier,0.6793228139381986,0.7238311042381972,0.7916666666666666,0.03447870277915233,,,,entropy,,,,8,log2,,10,,,,
326,ExtraTreesClassifier,0.6921433267587114,0.7234768547580736,0.7716140696909928,0.026581745047773324,,,,entropy,,,,5,auto,,100,,,,
389,ExtraTreesClassifier,0.685897435897436,0.7228608512699422,0.7952827087442472,0.0331505568546345,,,,entropy,,,,8,log2,,20,,,,
431,mlp,0.6520381328073636,0.7227568773772571,0.7915023011176857,0.045255593599319764,,,0.0001,,,13,,,,1000,,,1,lbfgs,
337,ExtraTreesClassifier,0.6801446416831031,0.7226465467599333,0.7642176199868508,0.027314902510858285,,,,entropy,,,,5,log2,,50,,,,
268,ExtraTreesClassifier,0.6530243261012492,0.7225934017142808,0.8014464168310321,0.04088003937282792,,,,gini,,,,7,auto,,10,,,,
236,ExtraTreesClassifier,0.6755424063116371,0.7223597373322648,0.7772024983563445,0.031417636649098905,,,,gini,,,,5,auto,,100,,,,
240,ExtraTreesClassifier,0.6744089244089243,0.7221443294744992,0.7859138724523342,0.031428453618907455,,,,gini,,,,5,sqrt,,40,,,,
298,ExtraTreesClassifier,0.6772682445759369,0.7219130630719043,0.7818047337278107,0.027964345544534343,,,,gini,,,,8,log2,,10,,,,
233,ExtraTreesClassifier,0.6825674325674325,0.7215402992500894,0.7542735042735041,0.023911864697154128,,,,gini,,,,5,auto,,20,,,,
439,mlp,0.6549967126890204,0.7215214550129635,0.7915023011176856,0.044724685436250196,,,0.0001,,,13,,,,2000,,,1,lbfgs,
225,ExtraTreesClassifier,0.6870629370629372,0.7214695741044392,0.7768737672583826,0.03077977134742176,,,,gini,,,,4,sqrt,,500,,,,
